Symbol	RNA
Sox17	Sox17	Gene Expression
Mrpl15	Mrpl15	Gene Expression
Lypla1	Lypla1	Gene Expression
Gm37988	Gm37988	Gene Expression
Tcea1	Tcea1	Gene Expression
Atp6v1h	Atp6v1h	Gene Expression
Rb1cc1	Rb1cc1	Gene Expression
4732440D04Rik	4732440D04Rik	Gene Expression
Pcmtd1	Pcmtd1	Gene Expression
Gm26901	Gm26901	Gene Expression
Rrs1	Rrs1	Gene Expression
Adhfe1	Adhfe1	Gene Expression
3110035E14Rik	3110035E14Rik	Gene Expression
Mybl1	Mybl1	Gene Expression
Vcpip1	Vcpip1	Gene Expression
1700034P13Rik	1700034P13Rik	Gene Expression
Sgk3	Sgk3	Gene Expression
Mcmdc2	Mcmdc2	Gene Expression
Snhg6	Snhg6	Gene Expression
Tcf24	Tcf24	Gene Expression
Ppp1r42	Ppp1r42	Gene Expression
Cops5	Cops5	Gene Expression
Cspp1	Cspp1	Gene Expression
Arfgef1	Arfgef1	Gene Expression
Prex2	Prex2	Gene Expression
Sulf1	Sulf1	Gene Expression
Ncoa2	Ncoa2	Gene Expression
Tram1	Tram1	Gene Expression
Lactb2	Lactb2	Gene Expression
Xkr9	Xkr9	Gene Expression
Terf1	Terf1	Gene Expression
Rpl7	Rpl7	Gene Expression
Rdh10	Rdh10	Gene Expression
Stau2	Stau2	Gene Expression
Ube2w	Ube2w	Gene Expression
Eloc	Eloc	Gene Expression
Tmem70	Tmem70	Gene Expression
Ly96	Ly96	Gene Expression
Jph1	Jph1	Gene Expression
Pkhd1	Pkhd1	Gene Expression
Mcm3	Mcm3	Gene Expression
Tram2	Tram2	Gene Expression
Tmem14a	Tmem14a	Gene Expression
Gsta3	Gsta3	Gene Expression
Gm29107	Gm29107	Gene Expression
Ogfrl1	Ogfrl1	Gene Expression
B3gat2	B3gat2	Gene Expression
Smap1	Smap1	Gene Expression
Sdhaf4	Sdhaf4	Gene Expression
Fam135a	Fam135a	Gene Expression
Lmbrd1	Lmbrd1	Gene Expression
Gm5524	Gm5524	Gene Expression
Phf3	Phf3	Gene Expression
Ptp4a1	Ptp4a1	Gene Expression
Gm29669	Gm29669	Gene Expression
Prim2	Prim2	Gene Expression
Rab23	Rab23	Gene Expression
